<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TS4,20201209,3.53,3.54,3.41,3.41,110
TSC,20201209,2.97,3.17,2.95,3.1,4150370
TTA,20201209,16.1,16.35,16,16.3,778990
TTB,20201209,4.4,4.44,4.35,4.38,339740
TTF,20201209,5.69,5.78,5.61,5.69,4852850
TV2,20201209,48.7,49.65,48.65,49.5,320070
TVB,20201209,12.55,12.7,12.5,12.65,289610
TVS,20201209,11.9,12,11.8,12,71290
TVT,20201209,23.5,24.95,23.5,24.4,1000
TYA,20201209,14.1,14.5,14,14.35,26250
UDC,20201209,5.32,5.33,5.01,5.01,71280
UIC,20201209,47.9,48.95,45.1,47.5,1650
VAF,20201209,10.95,10.95,10.95,10.95,1000
VCB,20201209,93.6,96.5,93.2,96.5,1198160
VCF,20201209,216,230.9,216,230.9,80
VCI,20201209,45,45.3,43.95,43.95,1743300
VDP,20201209,32.35,32.4,31.55,31.8,7670
VDS,20201209,9.6,9.8,9.6,9.6,9230
VGC,20201209,25.5,26.35,25.2,25.75,299660
VHC,20201209,44.9,46,44.65,45.55,1771550
VHM,20201209,84.5,85.3,84.2,85,2136700
VIB,20201209,32.8,32.85,32.2,32.2,821210
VIC,20201209,105,106,104.4,106,789790
VID,20201209,10.3,10.3,9.5,9.5,34930
VIP,20201209,7.63,7.9,7.48,7.78,490800
VIS,20201209,17.5,17.9,17.5,17.9,1850
VJC,20201209,118.5,120,118.3,120,683020
VMD,20201209,21.1,21.1,21.05,21.1,850
VND,20201209,20.5,20.5,20.1,20.1,3461930
VNE,20201209,4.85,4.9,4.82,4.9,92230
VNG,20201209,15.2,15.3,15.1,15.2,184630
VNL,20201209,16.8,17.45,16.75,17.45,4840
VNM,20201209,110,110.1,109.3,109.7,1701940
VNS,20201209,11.1,11.1,11,11,1000
VOS,20201209,2.23,2.23,2.22,2.23,1971950
VPB,20201209,28.65,28.8,28.35,28.45,5329840
VPD,20201209,14.3,14.4,14.25,14.35,17290
VPG,20201209,15.85,15.9,15.45,15.45,676940
VPH,20201209,4.53,4.55,4.43,4.44,96240
VPI,20201209,33.25,33.25,33.1,33.25,468670
VPS,20201209,12.95,13.9,12.95,13.8,39790
VRC,20201209,7.63,7.63,7.35,7.4,201350
VRE,20201209,28.25,28.5,28,28.4,6858420
VSC,20201209,52.5,53.5,52,52.6,126910
VSH,20201209,18.9,18.95,18.8,18.85,19800
VSI,20201209,16.8,17.05,16.8,16.8,660
VTB,20201209,11.05,11.5,11.05,11.3,40170
VTO,20201209,7.44,7.46,7.36,7.45,25460
YBM,20201209,4.98,5.18,4.98,5.15,20800
YEG,20201209,47,47,45.8,45.9,16620
